Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,asymmetric,0.31,0.3942258460763505
100% Corpus,5,asymmetric,0.61,0.3748829165960207
100% Corpus,5,asymmetric,0.9099999999999999,0.3988289519020257
100% Corpus,5,asymmetric,symmetric,0.3437682483741838
100% Corpus,6,0.01,0.01,0.4146840513854861
100% Corpus,6,0.01,0.31,0.37738384620155213
100% Corpus,6,0.01,0.61,0.3912374558613134
100% Corpus,6,0.01,0.9099999999999999,0.39684083223618344
100% Corpus,6,0.01,symmetric,0.3822938646766038
100% Corpus,6,0.31,0.01,0.3898454402987958
100% Corpus,6,0.31,0.31,0.39565100103072615
100% Corpus,6,0.31,0.61,0.400510222347592
100% Corpus,6,0.31,0.9099999999999999,0.40557159097439394
100% Corpus,6,0.31,symmetric,0.37622121886307974
100% Corpus,6,0.61,0.01,0.38449595241876794
100% Corpus,6,0.61,0.31,0.38201002099724696
100% Corpus,6,0.61,0.61,0.38576969864567245
100% Corpus,6,0.61,0.9099999999999999,0.391670416601889
100% Corpus,6,0.61,symmetric,0.39973629550145556
100% Corpus,6,0.9099999999999999,0.01,0.38825810608473565
100% Corpus,6,0.9099999999999999,0.31,0.3776038000160597
100% Corpus,6,0.9099999999999999,0.61,0.37460925194374534
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.37632129394364394
100% Corpus,6,0.9099999999999999,symmetric,0.36047349105065507
100% Corpus,6,symmetric,0.01,0.4031194409648578
100% Corpus,6,symmetric,0.31,0.3732459011658093
100% Corpus,6,symmetric,0.61,0.3741398873349108
100% Corpus,6,symmetric,0.9099999999999999,0.3854566065089558
100% Corpus,6,symmetric,symmetric,0.39349797710609985
100% Corpus,6,asymmetric,0.01,0.36581025655143096
100% Corpus,6,asymmetric,0.31,0.3870265640848005
100% Corpus,6,asymmetric,0.61,0.4178496078315737
100% Corpus,6,asymmetric,0.9099999999999999,0.4326224663249029
100% Corpus,6,asymmetric,symmetric,0.38134108048660914
100% Corpus,7,0.01,0.01,0.37327195339483726
100% Corpus,7,0.01,0.31,0.3922483214178128
100% Corpus,7,0.01,0.61,0.38463438335904393
100% Corpus,7,0.01,0.9099999999999999,0.4168855154113202
100% Corpus,7,0.01,symmetric,0.39390644012824316
100% Corpus,7,0.31,0.01,0.37517883006923963
100% Corpus,7,0.31,0.31,0.4024941034324335
100% Corpus,7,0.31,0.61,0.4099909761198389
100% Corpus,7,0.31,0.9099999999999999,0.4126088349302214
100% Corpus,7,0.31,symmetric,0.40408718030761176
100% Corpus,7,0.61,0.01,0.4123839073781069
100% Corpus,7,0.61,0.31,0.41481014957296936
100% Corpus,7,0.61,0.61,0.4193441188492709
100% Corpus,7,0.61,0.9099999999999999,0.414991403267555
100% Corpus,7,0.61,symmetric,0.43261457564543176
100% Corpus,7,0.9099999999999999,0.01,0.40625083078247226
100% Corpus,7,0.9099999999999999,0.31,0.40272708364806353
100% Corpus,7,0.9099999999999999,0.61,0.41244863502410284
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4096007538241541
100% Corpus,7,0.9099999999999999,symmetric,0.4196845419406679
100% Corpus,7,symmetric,0.01,0.37897827330153006
100% Corpus,7,symmetric,0.31,0.37199246248434636
100% Corpus,7,symmetric,0.61,0.3906541479842172
100% Corpus,7,symmetric,0.9099999999999999,0.39279912638763276
100% Corpus,7,symmetric,symmetric,0.4124123027541202
100% Corpus,7,asymmetric,0.01,0.3951347917116096
100% Corpus,7,asymmetric,0.31,0.39188540991586024
100% Corpus,7,asymmetric,0.61,0.4081142162322891
100% Corpus,7,asymmetric,0.9099999999999999,0.3990810096542669
100% Corpus,7,asymmetric,symmetric,0.39291366456203963
100% Corpus,8,0.01,0.01,0.3663270486917867
100% Corpus,8,0.01,0.31,0.3987343518351674
100% Corpus,8,0.01,0.61,0.4220458694916041
100% Corpus,8,0.01,0.9099999999999999,0.40998669780589647
100% Corpus,8,0.01,symmetric,0.357792889486257
100% Corpus,8,0.31,0.01,0.3569679959919526
100% Corpus,8,0.31,0.31,0.39250369672786206
100% Corpus,8,0.31,0.61,0.3554187220650221
100% Corpus,8,0.31,0.9099999999999999,0.3718861642722178
100% Corpus,8,0.31,symmetric,0.3461596649076515
100% Corpus,8,0.61,0.01,0.37759519990192614
100% Corpus,8,0.61,0.31,0.3944749184362447
100% Corpus,8,0.61,0.61,0.3795969719378336
100% Corpus,8,0.61,0.9099999999999999,0.4110376445973841
100% Corpus,8,0.61,symmetric,0.3928149614451898
100% Corpus,8,0.9099999999999999,0.01,0.39912668045149585
100% Corpus,8,0.9099999999999999,0.31,0.3811841751605929
100% Corpus,8,0.9099999999999999,0.61,0.40016857679031825
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4122089964397522
100% Corpus,8,0.9099999999999999,symmetric,0.3936196040247127
100% Corpus,8,symmetric,0.01,0.3767845571208689
100% Corpus,8,symmetric,0.31,0.3947334833542378
100% Corpus,8,symmetric,0.61,0.4071211064639588
100% Corpus,8,symmetric,0.9099999999999999,0.43498240978781855
100% Corpus,8,symmetric,symmetric,0.3514483797407252
100% Corpus,8,asymmetric,0.01,0.3825688584744897
100% Corpus,8,asymmetric,0.31,0.385419706525974
100% Corpus,8,asymmetric,0.61,0.39013838228059167
100% Corpus,8,asymmetric,0.9099999999999999,0.36630777789609886
100% Corpus,8,asymmetric,symmetric,0.3627007030408428
100% Corpus,9,0.01,0.01,0.40521516361544685
100% Corpus,9,0.01,0.31,0.39407777757575574
100% Corpus,9,0.01,0.61,0.38061555509185685
100% Corpus,9,0.01,0.9099999999999999,0.3895183620783833
100% Corpus,9,0.01,symmetric,0.3626450241913928
100% Corpus,9,0.31,0.01,0.39537429771877003
100% Corpus,9,0.31,0.31,0.37232898547585985
100% Corpus,9,0.31,0.61,0.37018334404355135
100% Corpus,9,0.31,0.9099999999999999,0.36394105256046155
100% Corpus,9,0.31,symmetric,0.37520919791812635
100% Corpus,9,0.61,0.01,0.403200213375071
100% Corpus,9,0.61,0.31,0.3946850874833801
100% Corpus,9,0.61,0.61,0.41329538448511033
100% Corpus,9,0.61,0.9099999999999999,0.3793387572017197
100% Corpus,9,0.61,symmetric,0.3941896739685523
100% Corpus,9,0.9099999999999999,0.01,0.40060884889878684
100% Corpus,9,0.9099999999999999,0.31,0.3836358094141519
100% Corpus,9,0.9099999999999999,0.61,0.3771029752123844
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.38849787740993946
100% Corpus,9,0.9099999999999999,symmetric,0.38696680349362866
100% Corpus,9,symmetric,0.01,0.4097845520245761
100% Corpus,9,symmetric,0.31,0.36843602666915687
100% Corpus,9,symmetric,0.61,0.394167349755351
100% Corpus,9,symmetric,0.9099999999999999,0.3964461924330028
100% Corpus,9,symmetric,symmetric,0.3736038962277409
100% Corpus,9,asymmetric,0.01,0.40084793371968636
100% Corpus,9,asymmetric,0.31,0.36376980395217307
100% Corpus,9,asymmetric,0.61,0.37205752929310887
100% Corpus,9,asymmetric,0.9099999999999999,0.409405352839791
100% Corpus,9,asymmetric,symmetric,0.3466005357801716
100% Corpus,10,0.01,0.01,0.39228596729633297
100% Corpus,10,0.01,0.31,0.4243689314264599
100% Corpus,10,0.01,0.61,0.4422825553021946
100% Corpus,10,0.01,0.9099999999999999,0.4290477523306323
100% Corpus,10,0.01,symmetric,0.3915637796275965
100% Corpus,10,0.31,0.01,0.3905726981127202
100% Corpus,10,0.31,0.31,0.37888198601469003
100% Corpus,10,0.31,0.61,0.43899019767391306
100% Corpus,10,0.31,0.9099999999999999,0.40730388439717097
100% Corpus,10,0.31,symmetric,0.37308178555059146
100% Corpus,10,0.61,0.01,0.37865489442000294
100% Corpus,10,0.61,0.31,0.4639864175681187
100% Corpus,10,0.61,0.61,0.4181423694981071
100% Corpus,10,0.61,0.9099999999999999,0.4294248107926534
100% Corpus,10,0.61,symmetric,0.4067027103418737
100% Corpus,10,0.9099999999999999,0.01,0.3966024584579336
100% Corpus,10,0.9099999999999999,0.31,0.3807906089154485
100% Corpus,10,0.9099999999999999,0.61,0.41217149817015564
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.41328108088417254
100% Corpus,10,0.9099999999999999,symmetric,0.38124696321320733
100% Corpus,10,symmetric,0.01,0.39730588180244913
100% Corpus,10,symmetric,0.31,0.38434843268410684
100% Corpus,10,symmetric,0.61,0.43631235925249623
100% Corpus,10,symmetric,0.9099999999999999,0.43844960407685624
100% Corpus,10,symmetric,symmetric,0.37859583071016484
100% Corpus,10,asymmetric,0.01,0.41747502237802364
100% Corpus,10,asymmetric,0.31,0.3938730272417733
100% Corpus,10,asymmetric,0.61,0.36476218751961575
100% Corpus,10,asymmetric,0.9099999999999999,0.4136760850786668
100% Corpus,10,asymmetric,symmetric,0.41661111619691693
100% Corpus,11,0.01,0.01,0.3840387130433266
100% Corpus,11,0.01,0.31,0.3500539239192174
100% Corpus,11,0.01,0.61,0.408728739567253
100% Corpus,11,0.01,0.9099999999999999,0.39280945128898065
100% Corpus,11,0.01,symmetric,0.40114842857261657
100% Corpus,11,0.31,0.01,0.4193421423114568
100% Corpus,11,0.31,0.31,0.38473755198919607
100% Corpus,11,0.31,0.61,0.3812493565568159
100% Corpus,11,0.31,0.9099999999999999,0.3891557036625856
100% Corpus,11,0.31,symmetric,0.3999137587982928
100% Corpus,11,0.61,0.01,0.40351296401165243
